GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0051171	regulation of nitrogen compound metabolic process	9.255029390066472e-27	9.255029390066472e-27	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,STK11,CEBPA,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,SPOP,AXIN2,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0060255	regulation of macromolecule metabolic process	9.255029390066472e-27	9.255029390066472e-27	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,NAV3,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,RPL22,STK11,CEBPA,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,SPOP,AXIN2,MIR142,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0031323	regulation of cellular metabolic process	9.255029390066472e-27	9.255029390066472e-27	+1	TP53,PIK3CA,PTEN,APC,VHL,KRAS,ARID1A,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,STK11,CEBPA,EPHA3,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,AXIN2,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0080090	regulation of primary metabolic process	1.1006594357267935e-26	1.1006594357267935e-26	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,STK11,CEBPA,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,SPOP,AXIN2,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0019222	regulation of metabolic process	1.1006594357267935e-26	1.1006594357267935e-26	+1	TP53,PIK3CA,PTEN,APC,VHL,KRAS,ARID1A,NAV3,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,RPL22,STK11,CEBPA,EPHA3,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,SPOP,AXIN2,MIR142,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0051173	positive regulation of nitrogen compound metabolic process	4.35815961872012e-26	4.35815961872012e-26	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,NOTCH1,FBXW7,CTNNB1,FLT3,KEAP1,CDH1,CTCF,NFE2L2,NPM1,RUNX1,MAP2K4,STK11,CEBPA,AKT1,BRAF,AR,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,ATR,SIN3A,VEZF1,CDK12,PTPN11,NSD1,TBL1XR1,ACVR2A,MECOM,RPL5,SMAD2,AXIN2,ERCC2,EZH2,PCBP1
GO:0010604	positive regulation of macromolecule metabolic process	3.8132597887361297e-25	3.8132597887361297e-25	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,NOTCH1,FBXW7,CTNNB1,FLT3,KEAP1,CDH1,CTCF,NFE2L2,NPM1,RUNX1,MAP2K4,STK11,CEBPA,AKT1,BRAF,AR,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,ATR,SIN3A,VEZF1,CDK12,PTPN11,NSD1,TBL1XR1,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,AXIN2,ERCC2,EZH2,PCBP1
GO:0009893	positive regulation of metabolic process	2.2288311058563653e-24	2.2288311058563653e-24	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,NOTCH1,FBXW7,CTNNB1,FLT3,KEAP1,CDH1,CTCF,NFE2L2,NPM1,RUNX1,MAP2K4,STK11,CEBPA,EPHA3,AKT1,BRAF,AR,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,ATR,SIN3A,VEZF1,CDK12,PTPN11,NSD1,TBL1XR1,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,AXIN2,ERCC2,EZH2,PCBP1
GO:0031325	positive regulation of cellular metabolic process	2.3436626320608965e-24	2.3436626320608965e-24	+1	TP53,PTEN,VHL,KRAS,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,NOTCH1,FBXW7,CTNNB1,FLT3,KEAP1,CDH1,CTCF,NFE2L2,NPM1,RUNX1,MAP2K4,STK11,CEBPA,EPHA3,AKT1,BRAF,AR,PIK3CG,SOX9,ATM,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,ATR,SIN3A,VEZF1,CDK12,PTPN11,NSD1,TBL1XR1,ACVR2A,MECOM,RPL5,SMAD2,AXIN2,ERCC2,EZH2,PCBP1
GO:0048522	positive regulation of cellular process	2.6414079475282037e-23	2.6414079475282037e-23	+1	TP53,PIK3CA,PTEN,APC,VHL,KRAS,ARID1A,NAV3,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,FLT3,TSHZ3,KEAP1,CDH1,ARHGAP35,CTCF,NFE2L2,BAP1,NPM1,RUNX1,NRAS,TBX3,MAP2K4,STK11,CEBPA,EPHA3,AKT1,BRAF,AR,AJUBA,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,CBFB,ATR,SIN3A,VEZF1,CDK12,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,LIFR,RPL5,SMAD2,AXIN2,MIR142,RAD21,ERCC2,EZH2,PCBP1
